Property type,Location,Bedrooms
a,Limerick,2
d,Limerick,4
t,Limerick,4
d,Limerick,4
dp,Limerick,3
t,Limerick,3
d,Limerick,3
d,Limerick,4
a,Limerick,2
a,Limerick,2
a,Limerick,3
d,Limerick,3
sd,Limerick,3
sd,Limerick,4
sd,Limerick,4
sd,Limerick,4
sd,Dublin,6
tn,Dublin,4
sd,Dublin,4
sd,Dublin,5
sd,Dublin,5
d,Dublin,5
d,Dublin,4
sd,Dublin,4
sd,Dublin,4
d,Dublin,4
sd,Dublin,6
d,Dublin,4
a,Dublin,2
d,Dublin,4
a,Dublin,2
a,Dublin,2
t,Dublin,3
a,Dublin,3
d,Dublin,4
sd,Dublin,3
sd,Dublin,3
sd,Dublin,3
a,Dublin,3
d,Dublin,4
d,Dublin,1
sd,Dublin,4
sd,Dublin,3
sd,Dublin,4
sd,Dublin,3
d,Dublin,4
sd,Dublin,3
sd,Dublin,3
sd,Dublin,3
a,Dublin,5
dp,Dublin,3
sd,Dublin,3
a,Dublin,3
dp,Dublin,3
a,Dublin,2
sd,Dublin,3
a,Dublin,2
a,Galway,2
sd,Galway,3
sd,Galway,3
sd,Galway,4
a,Galway,2
sd,Galway,3
sd,Galway,3
sd,Galway,4
sd,Galway,5
sd,Galway,3
d,Galway,4
d,Galway,4
d,Galway,4
d,Galway,6
t,Galway,3
sd,Galway,4
a,Galway,2
d,Galway,4
d,Cork,4
d,Cork,5
sd,Cork,3
sd,Cork,3
sd,Cork,4
sd,Cork,5
d,Cork,4
sd,Cork,4
sd,Cork,3
sd,Cork,3
sd,Cork,3
d,Cork,4
a,Cork,2
dp,Cork,3
d,Cork,7
sd,Cork,3
d,Cork,4
sd,Cork,4
t,Cork,4
sd,Cork,3
a,Cork,2
dp,Cork,3
a,Cork,2
sd,Cork,3
sd,Cork,3
